,city,local,parameter,value,unit
992,Barcelona,2020-02-15T23:00:00+01:00,no2,52,µg/m³
993,Barcelona,2020-02-15T22:00:00+01:00,no2,51,µg/m³
994,Barcelona,2020-02-15T21:00:00+01:00,no2,46,µg/m³
995,Barcelona,2020-02-15T20:00:00+01:00,no2,22,µg/m³
996,Barcelona,2020-02-15T19:00:00+01:00,no2,15,µg/m³
997,Barcelona,2020-02-15T18:00:00+01:00,no2,12,µg/m³
998,Barcelona,2020-02-15T17:00:00+01:00,no2,10,µg/m³
999,Barcelona,2020-02-15T16:00:00+01:00,no2,10,µg/m³
1000,Barcelona,2020-02-15T15:00:00+01:00,no2,13,µg/m³
1001,Barcelona,2020-02-15T14:00:00+01:00,no2,14,µg/m³
1002,Barcelona,2020-02-15T13:00:00+01:00,no2,18,µg/m³
1003,Barcelona,2020-02-15T12:00:00+01:00,no2,20,µg/m³
1004,Barcelona,2020-02-15T11:00:00+01:00,no2,20,µg/m³
1005,Barcelona,2020-02-15T10:00:00+01:00,no2,32,µg/m³
1006,Barcelona,2020-02-15T08:00:00+01:00,no2,25,µg/m³
1007,Barcelona,2020-02-15T07:00:00+01:00,no2,24,µg/m³
1008,Barcelona,2020-02-15T06:00:00+01:00,no2,22,µg/m³
1009,Barcelona,2020-02-15T05:00:00+01:00,no2,19,µg/m³
1010,Barcelona,2020-02-15T04:00:00+01:00,no2,15,µg/m³
1011,Barcelona,2020-02-15T03:00:00+01:00,no2,18,µg/m³
1012,Barcelona,2020-02-15T02:00:00+01:00,no2,41,µg/m³
1013,Barcelona,2020-02-15T01:00:00+01:00,no2,51,µg/m³
1014,Barcelona,2020-02-15T00:00:00+01:00,no2,41,µg/m³
1015,Barcelona,2020-02-14T23:00:00+01:00,no2,47,µg/m³
1016,Barcelona,2020-02-14T22:00:00+01:00,no2,48,µg/m³
1017,Barcelona,2020-02-14T21:00:00+01:00,no2,43,µg/m³
1018,Barcelona,2020-02-14T20:00:00+01:00,no2,34,µg/m³
1019,Barcelona,2020-02-14T19:00:00+01:00,no2,31,µg/m³
1020,Barcelona,2020-02-14T18:00:00+01:00,no2,25,µg/m³
1021,Barcelona,2020-02-14T17:00:00+01:00,no2,24,µg/m³
1022,Barcelona,2020-02-14T16:00:00+01:00,no2,24,µg/m³
1023,Barcelona,2020-02-14T15:00:00+01:00,no2,25,µg/m³
1024,Barcelona,2020-02-14T14:00:00+01:00,no2,33,µg/m³
1025,Barcelona,2020-02-14T13:00:00+01:00,no2,34,µg/m³
1026,Barcelona,2020-02-14T12:00:00+01:00,no2,50,µg/m³
1027,Barcelona,2020-02-14T11:00:00+01:00,no2,49,µg/m³
1028,Barcelona,2020-02-14T10:00:00+01:00,no2,49,µg/m³
1029,Barcelona,2020-02-14T09:00:00+01:00,no2,44,µg/m³
1030,Barcelona,2020-02-14T08:00:00+01:00,no2,41,µg/m³
1031,Barcelona,2020-02-14T07:00:00+01:00,no2,39,µg/m³
1032,Barcelona,2020-02-14T06:00:00+01:00,no2,44,µg/m³
1033,Barcelona,2020-02-14T05:00:00+01:00,no2,47,µg/m³
1034,Barcelona,2020-02-14T04:00:00+01:00,no2,44,µg/m³
1035,Barcelona,2020-02-14T03:00:00+01:00,no2,50,µg/m³
1036,Barcelona,2020-02-14T02:00:00+01:00,no2,60,µg/m³
1037,Barcelona,2020-02-14T01:00:00+01:00,no2,64,µg/m³
1038,Barcelona,2020-02-14T00:00:00+01:00,no2,60,µg/m³
1039,Barcelona,2020-02-13T23:00:00+01:00,no2,47,µg/m³
1040,Barcelona,2020-02-13T22:00:00+01:00,no2,54,µg/m³
1041,Barcelona,2020-02-13T21:00:00+01:00,no2,53,µg/m³
1042,Barcelona,2020-02-13T20:00:00+01:00,no2,35,µg/m³
1043,Barcelona,2020-02-13T19:00:00+01:00,no2,35,µg/m³
1044,Barcelona,2020-02-13T18:00:00+01:00,no2,32,µg/m³
1045,Barcelona,2020-02-13T17:00:00+01:00,no2,21,µg/m³
1046,Barcelona,2020-02-13T16:00:00+01:00,no2,16,µg/m³
1047,Barcelona,2020-02-13T15:00:00+01:00,no2,12,µg/m³
